ოლქი - სუბიექტი,1,2,3,4,5,6,7,8,10,11,12,14,15,16,17,18,19,22,23,25,26,27,28,30,41
#34 მაჟ. ოლქი,"273
(1.27%)","7
(0.03%)","575
(2.67%)","26
(0.12%)","5533
(25.77%)","155
(0.72%)","9
(0.04%)","485
(2.25%)","321
(1.49%)","10
(0.04%)","6
(0.02%)","41
(0.19%)","6
(0.02%)","8
(0.03%)","7
(0.03%)","10
(0.04%)","132
(0.61%)","4
(0.01%)","7
(0.03%)","11
(0.05%)","119
(0.55%)","395
(1.84%)","4
(0.01%)","7
(0.03%)","13315
(62.02%)"
#35 მაჟ. ოლქი,"323
(1.58%)","6
(0.02%)","158
(0.77%)","19
(0.09%)","7671
(37.54%)","38
(0.18%)","18
(0.08%)","139
(0.68%)","16
(0.07%)","16
(0.07%)","3
(0.01%)","13
(0.06%)","5
(0.02%)","13
(0.06%)","7
(0.03%)","5
(0.02%)","555
(2.71%)","16
(0.07%)","6
(0.02%)","5
(0.02%)","9
(0.04%)","82
(0.4%)","2
(0%)","11
(0.05%)","11293
(55.27%)"
#36 მაჟ. ოლქი,"872
(4.37%)","13
(0.06%)","338
(1.69%)","16
(0.08%)","9446
(47.41%)","54
(0.27%)","24
(0.12%)","173
(0.86%)","130
(0.65%)","16
(0.08%)","3
(0.01%)","21
(0.1%)","9
(0.04%)","11
(0.05%)","27
(0.13%)","9
(0.04%)","308
(1.54%)","10
(0.05%)","13
(0.06%)","2
(0.01%)","5
(0.02%)","188
(0.94%)","2
(0.01%)","11
(0.05%)","8221
(41.26%)"
#37 მაჟ. ოლქი,"493
(1.94%)","18
(0.07%)","610
(2.4%)","36
(0.14%)","5232
(20.6%)","348
(1.37%)","16
(0.06%)","2855
(11.24%)","1742
(6.86%)","19
(0.07%)","40
(0.15%)","241
(0.94%)","18
(0.07%)","18
(0.07%)","57
(0.22%)","33
(0.12%)","80
(0.31%)","22
(0.08%)","17
(0.06%)","8
(0.03%)","53
(0.2%)","985
(3.87%)","27
(0.1%)","28
(0.11%)","12391
(48.8%)"
#38 მაჟ. ოლქი,"1539
(7.22%)","10
(0.04%)","705
(3.31%)","14
(0.06%)","1983
(9.31%)","191
(0.89%)","160
(0.75%)","1744
(8.18%)","1788
(8.39%)","5
(0.02%)","13
(0.06%)","27
(0.12%)","4
(0.01%)","27
(0.12%)","12
(0.05%)","25
(0.11%)","240
(1.12%)","8
(0.03%)","7
(0.03%)","23
(0.1%)","23
(0.1%)","508
(2.38%)","11
(0.05%)","7
(0.03%)","12225
(57.39%)"
#39 მაჟ. ოლქი,"413
(1.92%)","9
(0.04%)","724
(3.37%)","22
(0.1%)","4969
(23.17%)","207
(0.96%)","10
(0.04%)","1917
(8.93%)","972
(4.53%)","17
(0.07%)","22
(0.1%)","41
(0.19%)","9
(0.04%)","11
(0.05%)","14
(0.06%)","25
(0.11%)","120
(0.55%)","9
(0.04%)","4
(0.01%)","2
(0%)","33
(0.15%)","1157
(5.39%)","6
(0.02%)","17
(0.07%)","10714
(49.96%)"
#40 მაჟ. ოლქი,"516
(2.16%)","11
(0.04%)","907
(3.8%)","22
(0.09%)","5905
(24.76%)","136
(0.57%)","21
(0.08%)","832
(3.48%)","975
(4.08%)","18
(0.07%)","17
(0.07%)","39
(0.16%)","13
(0.05%)","21
(0.08%)","46
(0.19%)","34
(0.14%)","208
(0.87%)","14
(0.05%)","12
(0.05%)","6
(0.02%)","89
(0.37%)","1753
(7.35%)","20
(0.08%)","8
(0.03%)","12222
(51.25%)"
#41 მაჟ. ოლქი,"867
(3.54%)","16
(0.06%)","1052
(4.3%)","24
(0.09%)","5831
(23.84%)","170
(0.69%)","20
(0.08%)","1108
(4.53%)","906
(3.7%)","16
(0.06%)","95
(0.38%)","77
(0.31%)","7
(0.02%)","80
(0.32%)","35
(0.14%)","53
(0.21%)","242
(0.98%)","11
(0.04%)","17
(0.06%)","5
(0.02%)","319
(1.3%)","3439
(14.06%)","19
(0.07%)","24
(0.09%)","10025
(40.98%)"
#42 მაჟ. ოლქი,"897
(3.5%)","10
(0.03%)","1070
(4.17%)","27
(0.1%)","6932
(27.05%)","81
(0.31%)","26
(0.1%)","943
(3.67%)","752
(2.93%)","12
(0.04%)","42
(0.16%)","56
(0.21%)","6
(0.02%)","83
(0.32%)","17
(0.06%)","120
(0.46%)","351
(1.36%)","12
(0.04%)","11
(0.04%)","7
(0.02%)","712
(2.77%)","1474
(5.75%)","11
(0.04%)","26
(0.1%)","11948
(46.62%)"
#43 მაჟ. ოლქი,"1265
(5.49%)","6
(0.02%)","959
(4.16%)","15
(0.06%)","5929
(25.74%)","353
(1.53%)","16
(0.06%)","1502
(6.52%)","1471
(6.38%)","16
(0.06%)","42
(0.18%)","68
(0.29%)","14
(0.06%)","15
(0.06%)","51
(0.22%)","43
(0.18%)","1051
(4.56%)","12
(0.05%)","8
(0.03%)","2
(0%)","102
(0.44%)","1278
(5.55%)","18
(0.07%)","12
(0.05%)","8779
(38.12%)"
